park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result, 2017_follow_up_sample_date,2017_epa_first_draw_result, 2017_epa_first_draw_sample_date, follow_up_field_result, follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min 
ABBOTT (ROBERT),Abbott #1 - High,"In front of comfort station on 95th Street, North end of park.",49 E 95TH ST,<2.0,4/21/17,,,,,,,,,<0.12,,
ABBOTT (ROBERT),Abbott #1 - Low,"In front of comfort station on 95th Street, North end of park.",49 E 95TH ST,<2.0,4/21/17,,,,,,,,,<0.12,,
ABBOTT (ROBERT),Abbott #2,Southeast corner of pool deck,49 E 95TH ST,2.19,4/21/17,,,,,,,,,<0.12,,
ABBOTT (ROBERT),Abbott #3,30 feet off South run of center walks track,49 E 95TH ST,<2.0,4/21/17,,,,,,,,,0.245,,
ABBOTT (ROBERT),Abbott #4,Northwest corner of oval running track where walk paths meet,49 E 95TH ST,2.38,4/21/17,,,,,,,,,4.48,,
ADA (SAWYER GARRETT),Ada  #1,"On 113th Street, east of tennis courts",11250 S ADA ST,<2.0,4/22/17,,,,,,,,,11.7,,
ADA (SAWYER GARRETT),Ada  #2,Near front door of fieldhouse,11250 S ADA ST,<2.0,4/22/17,,,,,,,,,<0.12,,
ADA (SAWYER GARRETT),Ada  #3,On pool deck,11250 S ADA ST,<2.0,4/22/17,,,,,,,,,9.63,,
ADA (SAWYER GARRETT),Ada  #4,On 112th Street east of Playground,11250 S ADA ST,<2.0,4/22/17,,,,,,,,,7.57,,
ADAMS (GEORGE & ADELE),Adams  #1,At spray pool,1919 N SEMINARY AVE,<2.0,4/26/17,,,,,,,,,<2.0,,
ADAMS (GEORGE & ADELE),Adams  #2 - High,South of playground,1919 N SEMINARY AVE,10.4,4/26/17,,,13.5,8/8/17,11,8/8/17,,,75,73,60
ADAMS (GEORGE & ADELE),Adams  #2 - Low,South of playground,1919 N SEMINARY AVE,10.2,4/26/17,,,13.8,8/8/17,,,,,75,73,61
ADDAMS (JANE),Addams  #1,"Near east entrance, 14th and Loomis",1301 W 14TH ST,<2.0,4/11/17,,,,,,,,,7.5,,
ADDAMS (JANE) MEML.,Jane Addams Meml.  #1,By Ramp to Flyover,550 E GRAND AVE,<2.0,4/22/17,,,,,,,,,<2.0,,
AIELLO (JOHN),Aiello  #1 - High,Northwest Corner near McVicker,2133 N MCVICKER,4.65,4/11/17,,,,,,,,,2.9,,
AIELLO (JOHN),Aiello  #1 - Middle,Northwest Corner near McVicker,2133 N MCVICKER,5.12,4/11/17,,,,,,,,,2.88,,
AIELLO (JOHN),Aiello  #1 - Low,Northwest Corner near McVicker,2133 N MCVICKER,4.5,4/11/17,,,,,,,,,3.3,,
ALGONQUIN,Algonquin  #1 - High,Northwest Corner on Washtenaw,2941 N WASHTENAW AVE,<2.0,4/18/17,,,,,,,,,6.64,,
ALGONQUIN,Algonquin  #1 - Middle,Northwest Corner on Washtenaw,2941 N WASHTENAW AVE,<2.0,4/18/17,,,,,,,,,6.65,,
ALGONQUIN,Algonquin  #1 - Low,Northwest Corner on Washtenaw,2941 N WASHTENAW AVE,<2.0,4/18/17,,,,,,,,,6.67,,
ALTGELD (JOHN),Altgeld  #1 - High,North side of Field House,515 S WASHTENAW AVE,<2.0,4/6/17,,,<2.0,5/23/17,,,,,-,,
ALTGELD (JOHN),Altgeld  #1 - Low,North side of Field House,515 S WASHTENAW AVE,-,,,,<2.0,5/23/17,,,,,-,,
ALTGELD (JOHN),Altgeld  #2,On pool deck near lifeguard room,515 S WASHTENAW AVE,<2.0,6/16/17,,,<2.0,7/8/17,,,,,2.1,,
ALTGELD (JOHN),Altgeld  #3 - High,Southwest area of football field,515 S WASHTENAW AVE,<2.0,4/6/17,,,,,,,,,2.01,,
