park_name,fountain_number,location_description,status,
ABBOTT (ROBERT),Abbott (Robert) #1,"IN FRONT OF COMFORT STATION ON 95TH STREET, NORTH END OF PARK.",Passed testing - returned to normal push-button operation,
ABBOTT (ROBERT),Abbott (Robert) #2,SOUTHEAST CORNER OF POOL DECK,Passed testing - returned to normal push-button operation,
ABBOTT (ROBERT),Abbott (Robert) #3,30 FEET OFF SOUTH RUN OF CENTER WALKS TRACK,Passed testing - returned to normal push-button operation,
ABBOTT (ROBERT),Abbott (Robert) #4,NORTHWEST CORNER OF OVAL RUNNING TRACK WHERE WALK PATHS MEET,Passed testing - returned to normal push-button operation,
ADA (SAWYER GARRETT),Ada (Sawyer Garrett) #1,"ON 113TH STREET, EAST OF TENNIS COURTS",Passed testing - returned to normal push-button operation,
ADA (SAWYER GARRETT),Ada (Sawyer Garrett) #2,NEAR FRONT DOOR OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
ADA (SAWYER GARRETT),Ada (Sawyer Garrett) #3,ON POOL DECK,Passed testing - returned to normal push-button operation,
ADA (SAWYER GARRETT),Ada (Sawyer Garrett) #4,ON 112TH STREET EAST OF PLAYGROUND,Passed testing - returned to normal push-button operation,
ADAMS (GEORGE & ADELE),Adams (George & Adele) #1,AT SPRAY POOL,Passed testing - returned to normal push-button operation,
ADAMS (GEORGE & ADELE),Adams (George & Adele) #2,SOUTH OF PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
ADDAMS (JANE),Addams (Jane) #1,"NEAR EAST ENTRANCE, 14TH AND LOOMIS",Passed testing - returned to normal push-button operation,
ADDAMS (JANE) MEML.,Addams (Jane) Meml. #1,BY RAMP TO FLYOVER,Passed testing - returned to normal push-button operation,
AIELLO (JOHN),Aiello (John) #1,NORTHWEST CORNER NEAR MCVICKER,Passed testing - returned to normal push-button operation,
ALGONQUIN,Algonquin #1,NORTHWEST CORNER ON WASHTENAW,Passed testing - returned to normal push-button operation,
ALTGELD (JOHN),Altgeld (John) #1,NORTH SIDE OF FIELD HOUSE,Passed testing - returned to normal push-button operation,
ALTGELD (JOHN),Altgeld (John) #2,ON POOL DECK NEAR LIFEGUARD ROOM,Passed testing - returned to normal push-button operation,
ALTGELD (JOHN),Altgeld (John) #3,SOUTHWEST AREA OF FOOTBALL FIELD,Passed testing - returned to normal push-button operation,
AMUNDSEN (ROALD),Amundsen (Roald) #1,"EAST END OF PARK, ON MCVICKER",Passed testing - returned to normal push-button operation,
AMUNDSEN (ROALD),Amundsen (Roald) #2,"NORTH OF FIELDHOUSE, ON PATH",Passed testing - returned to normal push-button operation,
