,address,lat,lon
0,49 E 95TH ST,41.7210823,-87.6217943754103
1,11250 S ADA ST,41.6882676,-87.6559784263866
2,1919 N SEMINARY AVE,41.9166048,-87.6552327
3,1301 W 14TH ST,41.86297815,-87.6593181832492
4,550 E GRAND AVE,41.8931098,-87.6131642
5,2133 N MCVICKER,,
6,2941 N WASHTENAW AVE,41.905681,-87.694461
7,515 S WASHTENAW AVE,41.8743665,-87.6932964624576
8,6200 W BLOOMINGDALE AVE,41.91344555,-87.780239114695
9,1629 S WABASH,41.88890145,-87.6264253897545
10,3748 S PRAIRIE AVE,41.754708,-87.6182327
11,5233 N ASHLAND AVE,41.9239545,-87.6681156
12,11144 S ST LAWRENCE AVE,41.7682822,-87.6104926
13,4901 S KILBOURN AVE,41.8034779,-87.7351325326835
14,3309 S SHIELDS AVE,41.834244,-87.6350382651993
15,4433 S ST LAWRENCE,,
16,801 S LOOMIS ST,41.8394176,-87.655627
17,2701 E 74TH ST,41.7606923,-87.5780222
18,4807 W GUNNISON ST,41.9685331,-87.7778497
19,4237 S WABASH AVE,41.8674884,-87.6258201
20,4639 N KENMORE AVE,41.9923419,-87.65688
21,3546 W ADDISON ST,41.9467196,-87.7170069469429
22,4431 W AUGUSTA BLVD,41.8985495,-87.7373421251536
23,6020 W FOSTER AVE,41.9755065,-87.7306743
24,5610 W LAKE ST,41.88847085,-87.7658057062049
25,1215 E 83RD ST,41.74362195,-87.5942743165517
26,3516 W SCHOOL ST,41.9412692,-87.7152620978974
27,4920 S THROOP ST,41.7513798,-87.6553684
28,10441 S LONGWOOD DR,41.7210512,-87.6691255
29,2022 W CERMAK RD,41.8513496,-87.7322808
30,115 S. SANGAMON ST,41.7633307,-87.6480051
31,517 W WISCONSIN ST,41.9159769,-87.6514858
32,6156 S DORCHESTER AVE,41.786239,-87.5914722
33,3020 N OAK PARK AVE,41.941812,-87.7958312
34,6227 N SHERIDAN RD,42.0055568,-87.6609295
35,8930 S MUSKEGON AVE,41.7328665,-87.556416291455
36,2460 W 102ND ST,41.7089134,-87.6301637
37,1958 E 116th Street,41.6845838,-87.5358646
38,427 E 45TH ST,41.81282045,-87.6154271391422
39,5641 S KENWOOD AVE,41.7923239,-87.5932378
40,2318 N LAVERGNE AVE,41.92287925,-87.7518726348979
41,11500 S HOMEWOOD AVE,41.6846513,-87.6703414
42,3939 W 79TH ST,41.7494375,-87.7230083
43,3044 S BONFIELD ST,41.83924475,-87.6537608
44,6646 S UNIVERSITY AVE,41.7979681,-87.59815
45,9729 S YATES AVE,41.71805375,-87.5643474899628
46,1246 W 92ND ST,41.72715495,-87.6549077188526
47,3285 N ELSTON AVE,41.94134665,-87.700283746832
48,3501 S RICHMOND ST,41.8082324,-87.6978774
49,5400 N BROADWAY,41.9872723,-87.6601903
50,4437 N MAGNOLIA AVE,41.9889745,-87.6615164
51,4542 S GREENWOOD AVE,41.7593703,-87.5981078
52,7100 N HARLEM AVE,42.00987945,-87.8072823692584
53,634 E 86TH ST,41.7384076,-87.609062
54,5640 N PULASKI RD,41.96735,-87.7279949
55,1049  W BUENA,18.4172472,-68.9756563
56,425 E MCFETRIDGE DR,41.86215935,-87.6166773295736
57,9400 S GREENWOOD AVE,41.7593703,-87.5981078
58,4913 N SHERIDAN RD,42.0055568,-87.6609295
59,5324 S WOODLAWN AVE,41.7950705,-87.5965437
60,3843 N CALIFORNIA AVE,41.9446156,-87.6979797
61,9801 S AVENUE G,41.7207484,-87.5264909000563
62,1224 W CARMEN AVE,41.9743763,-87.6675976
63,939 E 132ND ST,41.65518965,-87.5992212437824
64,4330 S KEDVALE AVE,41.81426575,-87.7279521142377
65,5315 N WINTHROP AVE,41.9763558,-87.6578137
66,721 N CENTRAL PARK AVE,41.9090852,-87.7167572
67,1100 W IRVING PARK RD,41.9529108,-87.7872465
68,4701 N ASHLAND AV,41.9239545,-87.6681156
69,7005 S DANTE AVE,41.7541817,-87.5905977
70,6758 N SACRAMENTO AVE,42.00444405,-87.7049395315436
71,3420 N LONG AVE,41.94319145,-87.7624057610192
72,1825 N DAMEN AVE,41.8849773,-87.6767392
73,2342 W FLOURNOY ST,41.8718638,-87.7615082
74,4501 N CLARENDON AVE,41.963727,-87.6493153648395
75,4615 W JACKSON BLVD,41.8767319,-87.7409670680188
76,3400 N ROCKWELL AVE,42.01762,-87.6949158
77,2210 N SOUTHPORT AVE,41.9507055,-87.6641098
78,1755 N CLYBOURN AVE,41.9282794,-87.6735328
79,5554 N MAGNOLIA AVE,41.9889745,-87.6615164
80,361 E 85TH ST,41.7411529,-87.5403446
81,5445 S DREXEL AVE,41.801845,-87.6039187
82,1466 S WABASH AV,41.8674884,-87.6258201
83,500 S CENTRAL AVE,41.8738619,-87.7661544470605
84,1845 W RICE ST,41.89666055,-87.6741692938236
85,1332 W 117TH ST,41.6810544,-87.6553966757008
86,5473 S CORNELL AVE,41.7981356,-87.5854749
87,1809 W 50TH ST,41.8030337,-87.675774
88,9201 S LONGWOOD DR,41.7210512,-87.6691255
89,44 W 15TH ST,41.8615387,-87.6614171
90,5058 W WEST END AVE,41.883072,-87.7502579
91,2611 N LOCKWOOD AVE,41.9281122,-87.7584978246702
92,1516 S KARLOV AVE,41.8709074,-87.7277884
93,2230 W 108TH PL,41.6966,-87.6520569
94,3150 S WESTERN AVE,41.8560901,-87.685747
95,4430 S MARSHFIELD AVE,41.813132,-87.6665021397956
96,5427 W DIVISION ST,41.9031793,-87.677548
97,8052 S DAMEN AV,41.8453555,-87.6756524
98,1805 N ALBANY AVE,41.9119651,-87.7045882
99,1356 N DEAN ST,41.9071268,-87.6707633
100,865 S PARK TER,41.8699717,-87.6296061
101,1126 E 80TH ST,41.7496076,-87.5911823
102,6056 N LANDERS AVE,41.9925353,-87.7518588
103,6340 N LAKEWOOD AVE,42.0049872,-87.6636287
104,4117 N LAVERGNE AVE,41.8913222,-87.7505612
105,8931 S DAUPHIN AVE,41.732072,-87.6020106178353
106,2734 W POLK ST,41.8721721,-87.6317381
107,1230 W SCHOOL ST,41.940466,-87.7616506
108,3620 S LITUANICA AVE,41.82813065,-87.6478986
109,9336 S KINGSTON AVE,41.7356304,-87.5623781
110,1401 S SACRAMENTO,41.88964985,-87.7008938485065
111,6931 S DAMEN AVE,41.8453555,-87.6756524
112,7442 N ASHLAND Blvd,42.006622,-87.6699847
113,300 E 31ST ST,41.8385473,-87.6102397
114,4640 N MELVINA AVE,41.96587575,-87.7825277036612
115,8445 S KOLIN AVE,41.7391997,-87.7294966
116,421 W LOCUST ST,41.8991737,-87.6406575
117,1119 W CULLERTON ST,41.8549913,-87.6539415758752
118,2430 E 82ND ST,41.74602765,-87.5649313
119,1330 W CHICAGO AVE,41.8966275,-87.6614189033571
120,6525 N HIAWATHA AVE,41.99961225,-87.7608367725013
121,711 W 60TH PL,41.7833684,-87.7133036
122,2230 W CORTLAND ST,41.9163217,-87.6669881
123,707 E 37TH ST,41.8273919,-87.6081070050254
124,5215 S WOODLAWN AVE,41.7950705,-87.5965437
125,5600 S EMERALD AVE,41.8131751,-87.6444371
126,1820 W GRANVILLE AVE,41.9946084,-87.6562507
127,7687 S SOUTH CHICAGO AVE,41.7264819,-87.5508068
128,9800 S PARNELL AVE,41.716072,-87.6374118505031
129,2012 W BELMONT AVE,41.9383812,-87.7810683
