park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result,2017_follow_up_sample_date,2017_epa_first_draw_result,2017_epa_first_draw_sample_date,follow_up_field_result,follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min,status,indoor_outdoor
ABBOTT (ROBERT),Abbott #1 - High,"in front of comfort station on 95th street, north end of park.",49 E 95TH ST,2.0,2017-04-21,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
ABBOTT (ROBERT),Abbott #1 - Low,"in front of comfort station on 95th street, north end of park.",49 E 95TH ST,2.0,2017-04-21,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
ABBOTT (ROBERT),Abbott #2,southeast corner of pool deck,49 E 95TH ST,2.19,2017-04-21,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
ABBOTT (ROBERT),Abbott #3,30 feet off south run of center walks track,49 E 95TH ST,2.0,2017-04-21,,,,,,,,,0.245,,,Passed testing - returned to normal push-button operation,O
ABBOTT (ROBERT),Abbott #4,northwest corner of oval running track where walk paths meet,49 E 95TH ST,2.38,2017-04-21,,,,,,,,,4.48,,,Passed testing - returned to normal push-button operation,O
ADA (SAWYER GARRETT),Ada  #1,"on 113th street, east of tennis courts",11250 S ADA ST,2.0,2017-04-22,,,,,,,,,11.7,,,Passed testing - returned to normal push-button operation,O
ADA (SAWYER GARRETT),Ada  #2,near front door of fieldhouse,11250 S ADA ST,2.0,2017-04-22,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
ADA (SAWYER GARRETT),Ada  #3,on pool deck,11250 S ADA ST,2.0,2017-04-22,,,,,,,,,9.63,,,Passed testing - returned to normal push-button operation,O
ADA (SAWYER GARRETT),Ada  #4,on 112th street east of playground,11250 S ADA ST,2.0,2017-04-22,,,,,,,,,7.57,,,Passed testing - returned to normal push-button operation,O
ADAMS (GEORGE & ADELE),Adams  #1,at spray pool,1919 N SEMINARY AVE,2.0,2017-04-26,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
ADAMS (GEORGE & ADELE),Adams  #2 - High,south of playground,1919 N SEMINARY AVE,10.4,2017-04-26,,,13.5,2017-08-08,11.0,2017-08-08,,,75.0,73.0,60.0,Continuous flow - To be assessed for repair/replacement/removal,O
ADAMS (GEORGE & ADELE),Adams  #2 - Low,south of playground,1919 N SEMINARY AVE,10.2,2017-04-26,,,13.8,2017-08-08,,,,,75.0,73.0,61.0,Continuous flow - To be assessed for repair/replacement/removal,O
ADDAMS (JANE),Addams  #1,"near east entrance, 14th and loomis",1301 W 14TH ST,2.0,2017-04-11,,,,,,,,,7.5,,,Passed testing - returned to normal push-button operation,O
ADDAMS (JANE) MEML.,Jane Addams Meml.  #1,by ramp to flyover,550 E GRAND AVE,2.0,2017-04-22,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
AIELLO (JOHN),Aiello  #1 - High,northwest corner near mcvicker,2133 N MCVICKER,4.65,2017-04-11,,,,,,,,,2.9,,,Passed testing - returned to normal push-button operation,O
AIELLO (JOHN),Aiello  #1 - Middle,northwest corner near mcvicker,2133 N MCVICKER,5.12,2017-04-11,,,,,,,,,2.88,,,Passed testing - returned to normal push-button operation,O
AIELLO (JOHN),Aiello  #1 - Low,northwest corner near mcvicker,2133 N MCVICKER,4.5,2017-04-11,,,,,,,,,3.3,,,Passed testing - returned to normal push-button operation,O
