,park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result,2017_follow_up_sample_date,2017_epa_first_draw_result,2017_epa_first_draw_sample_date,follow_up_field_result,follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min,lat,lon
0,ABBOTT (ROBERT),Abbott #1 - High,"in front of comfort station on 95th street, north end of park.",49 E 95TH ST,2,4/21/17,,,,,,,,,0.12,,,41.7210823,-87.62179438
1,ABBOTT (ROBERT),Abbott #1 - Low,"in front of comfort station on 95th street, north end of park.",49 E 95TH ST,2,4/21/17,,,,,,,,,0.12,,,41.7210823,-87.62179438
2,ABBOTT (ROBERT),Abbott #2,southeast corner of pool deck,49 E 95TH ST,2.19,4/21/17,,,,,,,,,0.12,,,41.7210823,-87.62179438
3,ABBOTT (ROBERT),Abbott #3,30 feet off south run of center walks track,49 E 95TH ST,2,4/21/17,,,,,,,,,0.245,,,41.7210823,-87.62179438
4,ABBOTT (ROBERT),Abbott #4,northwest corner of oval running track where walk paths meet,49 E 95TH ST,2.38,4/21/17,,,,,,,,,4.48,,,41.7210823,-87.62179438
5,ADA (SAWYER GARRETT),Ada  #1,"on 113th street, east of tennis courts",11250 S ADA ST,2,4/22/17,,,,,,,,,11.7,,,41.6882676,-87.65597843
6,ADA (SAWYER GARRETT),Ada  #2,near front door of fieldhouse,11250 S ADA ST,2,4/22/17,,,,,,,,,0.12,,,41.6882676,-87.65597843
7,ADA (SAWYER GARRETT),Ada  #3,on pool deck,11250 S ADA ST,2,4/22/17,,,,,,,,,9.63,,,41.6882676,-87.65597843
8,ADA (SAWYER GARRETT),Ada  #4,on 112th street east of playground,11250 S ADA ST,2,4/22/17,,,,,,,,,7.57,,,41.6882676,-87.65597843
9,ADAMS (GEORGE & ADELE),Adams  #1,at spray pool,1919 N SEMINARY AVE,2,4/26/17,,,,,,,,,2,,,41.9166048,-87.6552327
10,ADAMS (GEORGE & ADELE),Adams  #2 - High,south of playground,1919 N SEMINARY AVE,10.4,4/26/17,,,13.5,8/8/17,11,8/8/17,,,75,73,60,41.9166048,-87.6552327
11,ADAMS (GEORGE & ADELE),Adams  #2 - Low,south of playground,1919 N SEMINARY AVE,10.2,4/26/17,,,13.8,8/8/17,,,,,75,73,61,41.9166048,-87.6552327
